first_player,,,DeepMCTS,DeepMCTS,RolloutMCTS,RolloutMCTS
score_player,,,DeepMCTS,RolloutMCTS,DeepMCTS,RolloutMCTS
board_size,bmcts_sim,match,,,,
Vortex_6,750,5,1,0,1,0
Vortex_6,750,6,1,0,1,0
Vortex_6,750,7,1,0,1,0
Vortex_6,750,8,0,1,0,1
Vortex_6,750,9,1,0,1,0
Vortex_6,750,10,1,0,0,1
Vortex_6,750,11,1,0,1,0
Vortex_6,750,12,1,0,1,0
Vortex_6,750,13,1,0,1,0
Vortex_6,750,14,0,1,1,0
Vortex_6,750,15,1,0,0,1
Vortex_6,750,16,1,0,1,0
Vortex_6,750,17,1,0,1,0
Vortex_6,750,18,1,0,0,1
Vortex_6,750,19,1,0,1,0
Vortex_6,750,20,1,0,1,0
Vortex_6,750,21,1,0,1,0
Vortex_6,750,22,1,0,0,1
Vortex_6,750,23,1,0,1,0
Vortex_6,750,24,1,0,1,0
Vortex_6,750,25,0,1,1,0
Vortex_6,750,26,1,0,0,1
Vortex_6,750,27,1,0,0,1
Vortex_6,750,28,1,0,0,1
Vortex_6,750,29,1,0,1,0
Vortex_6,750,30,1,0,1,0
Vortex_6,750,31,1,0,0,1
Vortex_6,750,32,1,0,1,0
Vortex_6,750,33,1,0,1,0
Vortex_6,750,34,1,0,1,0
Vortex_6,750,35,0,1,0,1
Vortex_6,750,36,1,0,0,1
Vortex_6,750,37,0,1,1,0
Vortex_6,750,38,1,0,0,1
Vortex_6,750,39,1,0,0,1
Vortex_6,750,40,1,0,1,0
Vortex_6,750,41,1,0,1,0
Vortex_6,750,42,1,0,0,1
Vortex_6,750,43,1,0,1,0
Vortex_6,750,44,1,0,0,1
Vortex_6,750,45,1,0,0,1
Vortex_6,750,46,1,0,0,1
Vortex_6,750,47,1,0,1,0
Vortex_6,750,48,0,1,1,0
Vortex_6,750,49,0,1,0,1
Vortex_6,750,50,0,1,1,0
Vortex_6,750,51,1,0,0,1
Vortex_6,750,52,1,0,0,1
Vortex_6,750,53,1,0,1,0
Vortex_6,750,54,1,0,1,0
Vortex_6,750,55,0,1,0,1
Vortex_6,750,56,1,0,1,0
Vortex_6,750,57,1,0,1,0
Vortex_6,750,58,1,0,1,0
Vortex_6,750,59,0,1,0,1
Vortex_6,750,60,1,0,1,0
Vortex_6,750,61,0,1,1,0
Vortex_6,750,62,1,0,1,0
Vortex_6,750,63,1,0,1,0
Vortex_6,750,64,1,0,0,1
Vortex_6,750,65,1,0,0,1
Vortex_6,750,66,1,0,0,1
Vortex_6,750,67,1,0,1,0
Vortex_6,750,68,1,0,1,0
Vortex_6,750,69,1,0,1,0
Vortex_6,750,70,0,1,0,1
Vortex_6,750,71,1,0,0,1
Vortex_6,750,72,1,0,1,0
Vortex_6,750,73,0,1,1,0
Vortex_6,750,74,0,1,0,1
Vortex_6,750,75,1,0,0,1
Vortex_6,750,76,1,0,1,0
Vortex_6,750,77,1,0,0,1
Vortex_6,750,78,1,0,1,0
Vortex_6,750,79,1,0,1,0
Vortex_6,750,80,1,0,0,1
Vortex_6,750,81,1,0,1,0
Vortex_6,750,82,0,1,1,0
Vortex_6,750,83,1,0,1,0
Vortex_6,750,84,0,1,1,0
Vortex_6,750,85,1,0,1,0
Vortex_6,750,86,1,0,1,0
Vortex_6,750,87,1,0,1,0
Vortex_6,750,88,1,0,1,0
Vortex_6,750,89,0,1,0,1
Vortex_6,750,90,1,0,1,0
Vortex_6,750,91,1,0,1,0
Vortex_6,750,92,1,0,1,0
Vortex_6,750,93,1,0,1,0
Vortex_6,750,94,1,0,1,0
Vortex_6,750,95,1,0,1,0
Vortex_6,750,96,1,0,1,0
Vortex_6,750,97,1,0,0,1
Vortex_6,750,98,0,1,1,0
Vortex_6,750,99,1,0,1,0
Vortex_6,1000,0,1,0,1,0
Vortex_6,1000,1,0,1,1,0
Vortex_6,1000,2,1,0,1,0
Vortex_6,1000,3,1,0,0,1
Vortex_6,1000,4,1,0,0,1
Vortex_6,1000,5,0,1,0,1
Vortex_6,1000,6,1,0,1,0
Vortex_6,1000,7,1,0,1,0
Vortex_6,1000,8,1,0,1,0
Vortex_6,1000,9,1,0,0,1
